species,endemism,phenology,type,form,density,texture,max_height,max_width,year_max,spacing,coverage
Acer palmatum,exotic,sep_oct_nov,deciduous,round,semi-open,medium,10,10,30,,
Buxus japonica,exotic,sep_oct_nov,evergreen,rounded,closed,fine,2.5,1.5,5,,
Camellia sasanqua,exotic,feb_mar_apr_may_jun,evergreen,rounded,closed,medium,4,4,5,,
Citrus spp,exotic,aug_sep_oct_nov,evergreen,round,semi-open,medium,10,6,15,,
Cordyline fruticosa,exotic,dec_jan_feb,evergreen,vase,semi-open,coarse,4.5,1,15,,
Cyathea cooperi,native,,evergreen,vase,open,fine,10,8,10,,
Duranta repens,exotic,oct_nov_dec_jan,evergreen,rounded,closed,fine,2.5,2.5,2,,
Elaeocarpus reticulatus,native,sep_oct_nov,evergreen,columnar,semi-open,medium,10,8,15,,
Fatsia japonica,exotic,mar_apr_may,evergreen,vase,semi-open,coarse,5,5,15,,
Gardenia augusta,exotic,nov_dec_jan,evergreen,mounding,closed,medium,2,1.5,4,,
Hebe spp,exotic,jan_feb_mar_apr,evergreen,mounding,closed,medium,1.5,1.5,3,,
Jacaranda mimosifolia,exotic,oct_nov_dec,evergreen,round,semi-open,fine,15,10,20,,
Lagerstroemia indica,exotic,jan_feb_mar,deciduous,round,semi-open,medium,6,6,15,,
Liriope muscari,exotic,oct_nov_dec_jan,evergreen,mounding,open,coarse,0.5,0.5,2,,
Loropetalum chinense,exotic,nov_dec_jan_feb_mar_apr,evergreen,rounded,closed,fine,2,1.5,3,,
Magnolia liliiflora,exotic,oct_nov,deciduous,round,open,coarse,4,4,12,,
Murraya paniculata,native,sep_oct_nov_dec,evergreen,round,closed,medium,1,1,4,,
Nandina domestica,exotic,nov_dec_jan,evergreen,round,closed,medium,3,2,10,,
Phormium tenax,exotic,oct_nov_dec_jan,evergreen,vase,open,coarse,3,2,3,,
Plumeria acutifolia,exotic,nov_dec_jan_feb_mar_apr,evergreen,round,open,coarse,6,5,30,,
Robinia pseudoacacia,exotic,oct_nov_dec_jan,deciduous,round,semi-open,medium,15,10,30,,
Syzygium cascade,native,oct_nov_dec_jan,evergreen,round,closed,medium,3,2,2,,
Elaeocarpus eumundi,native,oct_nov_dec,evergreen,pyramidal,semi-open,medium,10,3,15,,
Syzygium Luehmannii,native,nov_dec,evergreen,upright,closed,medium,7,2.5,4,,
Mentha australis,native,dec_jan_feb_mar_apr,evergreen,mounding,closed,fine,0.3,1,1,4,50
Prostanthera incisa,native,oct_nov_dec_jan,evergreen,rounded,closed,fine,1.25,1.25,3,3,30
Rosmarinus officinalis,exotic,jun_jul_aug_sep_oct_nov,evergreen,mounding,semi-open,fine,1,1,3,1,20
